Date,ADRO.JK,AKRA.JK,ANTM.JK,ASII.JK,BRPT.JK,BSDE.JK,BTPS.JK,CPIN.JK,CTRA.JK,ERAA.JK,EXCL.JK,ICBP.JK,INCO.JK,INDF.JK,INDY.JK,INTP.JK,ITMG.JK,JPFA.JK,JSMR.JK,KLBF.JK,LPPF.JK,PTBA.JK,PTPP.JK,SCMA.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK,WIKA.JK,WSBP.JK
2001-01-02,,,,2.7217674255371094,,,,,46.40038681030274,,,299.0655212402344,,494.4859924316406,,1088.281982421875,,,,,,,,,,,252.2672119140625,,,
2001-01-03,,,,2.542705774307251,,,,,46.40038681030274,,,299.0655212402344,,494.4859924316406,,1070.72900390625,,,,,,,,,,,246.26089477539062,,,
2001-01-04,,,,2.793393611907959,,,,,41.98130416870117,,,299.0655212402344,,494.4859924316406,,1123.3876953125,,,,,,,,,,,249.26373291015625,,,
2001-01-05,,,,2.7575809955596924,,,,,50.81938552856445,,,299.0655212402344,,494.4859924316406,,1158.49365234375,,,,,,,,,,,255.2701568603516,,,
2001-01-08,,,,2.7575809955596924,,,,,50.81938552856445,,,299.0655212402344,,494.4859924316406,,1123.3876953125,,,,,,,,,,,252.2672119140625,,,
2001-01-09,,,,2.793393611907959,,,,,44.1908073425293,,,299.0655212402344,,494.4859924316406,,1123.3876953125,,,,,,,,,,,252.2672119140625,,,
2001-01-10,,,,2.793393611907959,,,,,50.81938552856445,,,299.0655212402344,,494.4859924316406,,1105.8348388671877,,,,,,,,,,,252.2672119140625,,,
2001-01-11,,,,2.7217674255371094,,,,,48.60987854003906,,,299.0655212402344,,494.4859924316406,,1070.72900390625,,,,,,,,,,,249.26373291015625,,,
2001-01-12,,,,2.68595552444458,,,,,44.1908073425293,,,299.0655212402344,,494.4859924316406,,1053.1761474609377,,,,,,,,,,,252.2672119140625,,,
2001-01-15,,,,2.793393611907959,,,,,48.60987854003906,,,299.0655212402344,,494.4859924316406,,1070.72900390625,,,,,,,,,,,252.2672119140625,,,
2001-01-16,,,,2.9724550247192383,,,,,48.60987854003906,,,299.0655212402344,,494.4859924316406,,1070.72900390625,,,,,,,,,,,258.27359008789057,,,
2001-01-17,,,,2.9008302688598637,,,,,46.40038681030274,,,299.0655212402344,,494.4859924316406,,1053.1761474609377,,,,,,,,,,,252.2672119140625,,,
2001-01-18,,,,2.9724550247192383,,,,,53.02898025512695,,,308.41131591796875,,509.93878173828125,,1053.1761474609377,,,,,,,,,,,252.2672119140625,,,
2001-01-19,,,,2.9008302688598637,,,,,55.23847579956055,,,308.41131591796875,,509.93878173828125,,1053.1761474609377,,,,,,,,,,,252.2672119140625,,,
2001-01-22,,,,3.0440993309021,,,,,53.02898025512695,,,317.7571105957031,,525.3914794921875,,1053.1761474609377,,,,,,,,,,,255.2701568603516,,,
2001-01-23,,,,3.008268117904663,,,,,50.81938552856445,,,308.41131591796875,,509.93878173828125,,1053.1761474609377,,,,,,,,,,,255.2701568603516,,,
2001-01-24,,,,3.0440993309021,,,,,53.02898025512695,,,308.41131591796875,,509.93878173828125,,1053.1761474609377,,,,,,,,,,,255.2701568603516,,,
2001-01-25,,,,3.0440993309021,,,,,53.02898025512695,,,317.7571105957031,,525.3914794921875,,1070.72900390625,,,,,,,,,,,255.2701568603516,,,
2001-01-26,,,,3.008268117904663,,,,,53.02898025512695,,,317.7571105957031,,525.3914794921875,,1053.1761474609377,,,,,,,,,,,252.2672119140625,,,
2001-01-29,,,,2.9724550247192383,,,,,55.23847579956055,,,317.7571105957031,,525.3914794921875,,1018.0699462890624,,,,,,,,,,,249.26373291015625,,,
2001-01-30,,,,2.936643362045288,,,,,59.657569885253906,,,327.1029052734375,,540.8441162109375,,1035.623046875,,,,,,,,,,,252.2672119140625,,,
2001-01-31,,,,3.0440993309021,,,,,55.23847579956055,,,336.44873046875,,556.2968139648439,,1053.1761474609377,,55.88041687011719,,,,,,,,,261.27645874023443,,,
2001-02-01,,,,3.1157243251800537,,,,,55.23847579956055,,,355.1402893066406,,587.2022094726562,,1053.1761474609377,,51.02125549316406,,,,,,,,,261.27645874023443,,,
