"LCKM","LCKM.JK"," LCK Global Kedaton Tbk."
"LINK","LINK.JK"," Link Net Tbk."
"LION","LION.JK"," Lion Metal Works Tbk."
"LMPI","LMPI.JK"," Langgeng Makmur Industri Tbk."
"LMSH","LMSH.JK"," Lionmesh Prima Tbk."
"LPCK","LPCK.JK"," Lippo Cikarang Tbk."
"LPIN","LPIN.JK"," Multi Prima Sejahtera Tbk."
"LPKR","LPKR.JK"," Lippo Karawaci Tbk."
"LPPF","LPPF.JK"," Matahari Department Store Tbk."
"LRNA","LRNA.JK"," Eka Sari Lorena Transport Tbk."
"LSIP","LSIP.JK"," PP London Sumatra Indonesia Tbk."
"LTLS","LTLS.JK"," Lautan Luas Tbk."
"LUCK","LUCK.JK"," Sentral Mitra Informatika Tbk."
"MAGP","MAGP.JK"," Multi Agro Gemilang Plantation Tbk."
"MAIN","MAIN.JK"," Malindo Feedmill Tbk."
"MAMI","MAMI.JK"," Mas Murni Indonesia Tbk."
"MAPB","MAPB.JK"," MAP Boga Adiperkasa Tbk."
"MAPI","MAPI.JK"," Mitra Adiperkasa Tbk."
"MARK","MARK.JK"," Mark Dynamics Indonesia Tbk. "
"MAPA","MAPA.JK"," Map Aktif Adiperkasa Tbk."
"MASA","MASA.JK"," Multistrada Arah Sarana Tbk."
"MBAP","MBAP.JK"," Mitrabara Adiperdana Tbk."
"MBSS","MBSS.JK"," Mitrabahtera Segara Sejati Tbk."
"MBTO","MBTO.JK"," Martina Berto Tbk."
"MCAS","MCAS.JK"," M Cash Integrasi Tbk."
"MDKA","MDKA.JK"," Merdeka Copper Gold Tbk."
"MDKI","MDKI.JK"," Emdcki Utama Tbk."
"MERK","MERK.JK"," Merck Tbk."
"META","META.JK"," Nusantara Infrastructure Tbk."
"MFMI","MFMI.JK"," Multifiling Mitra Indonesia Tbk."
"MGRO","MGRO.JK"," Mahkota Group Tbk."
"MICE","MICE.JK"," Multi Indocitra Tbk."
"MIKA","MIKA.JK"," Mitra Keluarga Karyasehat Tbk."
"MINA","MINA.JK"," Sanurhasta Mitra Tbk."
"MIRA","MIRA.JK"," Mitra International Resources Tbk."
"MKPI","MKPI.JK"," Metropolitan Kentjana Tbk."
"MLIA","MLIA.JK"," Mulia Industrindo Tbk."
"MLPL","MLPL.JK"," Multipolar Tbk."
"MLPT","MLPT.JK"," Multipolar Technology Tbk."
"MMLP","MMLP.JK"," Mega Manunggal Property Tbk."
"MNCN","MNCN.JK"," Media Nusantara Citra Tbk."
"MPMX","MPMX.JK"," Mitra Pinasthika Mustika Tbk."
"MPOW","MPOW.JK"," Megapovver Makmur Tbk."
"MPPA","MPPA.JK"," Matahari Putra Prima Tbk."
"MRAT","MRAT.JK"," Mustika Ratu Tbk."
"MSIN","MSIN.JK"," MNC Studios International Tbk."
"MSKY","MSKY.JK"," MNC Sky Vision Tbk."
"MTDL","MTDL.JK"," Metrodata Electronics Tbk."
"MTLA","MTLA.JK"," Metropolitan Land Tbk."
"MTPS","MTPS.JK"," Met a Epsi Tbk."
